ID,AirSpeed,GlideAngle,Weight,Lift,LiftCoef,DragWeightSupport,WeightSupport,Dideal,DragInduced,SpanEfficiency,DragCoef_ind,DragProfile,DragCoef_pro,DragBody,DragCoef_bod,WingSpan,WingArea,TailSpan,TailArea,TailHeight,PrimSep8,PrimSweep,BodyAngle,SpanRatio,SpanCamber,Height,EqQuasiSteadyGlideAngle
13082914422300005375,9.71469605856015,5.51,2.13858,2.1225001582923,0.563164937065234,1.06976938029135,0.997782440152427,0.0552626181623503,0.0851969410912404,0.648645567018276,0.0226053834579697,0.0588915203101672,0.0156257417459206,0.0755836962970177,0.260469378563014,0.528812457856746,0.0518170260824754,0.0799630952473152,0.00571639648131855,0.0390843949680325,0.0539694763219003,0.182080446715554,16.7669197750627,0.789272325159322,0.165488701640692,0.19,5.90889678676887
13082914422300005425,9.71469605856015,5.51,2.13858,2.10867242194323,0.559496010945084,1.07308918067777,0.991384247763789,0.0545449101017096,0.0848782671785762,0.642625160890149,0.0225208294129352,0.0605618987237237,0.0160689448008041,0.0749136973370089,0.258160491576784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,5.96569135136507
13082914422300006275,9.71469605856015,5.51,2.13858,1.88233209048854,0.499440920715287,0.945947633931901,0.884852605767551,0.0434638793461627,0.0756725050965771,0.574368184199688,0.0200782560150996,0.0522685908792543,0.0138684737327355,0.0663048430497804,0.228493472944587,0.510236910593954,0.0492213701618418,0.0722911894205143,0.00526149280026207,0.0349409541888507,0.0536020392167806,0.163313848795928,14.9201773753672,0.76154762775217,0.22028013656155,0.19,5.8917429690989
13082914422300006175,9.71469605856015,5.51,2.13858,2.10087397000542,0.557426840454045,0.913003702187065,0.986272547254301,0.0541422118965691,0.0796556915145395,0.679702992556239,0.0211351185644978,0.0481536260024295,0.012776646282533,0.0596717386256735,0.205635096443637,0.53529928849967,0.052743287037286,0.0704882380719771,0.00515174510277856,0.0204198456710881,0.0582113388368667,0.192083742431381,14.7074970925118,0.798954161939806,0.200530721570765,0.19,5.09954137075719
13082914422300006400,9.71469605856015,5.51,2.13858,2.20727758988336,0.585659011678139,0.975316776177173,1.03636291145021,0.0597654098237036,0.0879824262702171,0.679288039183511,0.0233444588259436,0.0451678308007662,0.0119844224703155,0.0671264984704404,0.231324984067981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19,5.18452099345337
13082915100500003275,9.71469605856015,5.51,2.163105,2.28449024935508,0.606145918283138,0.967114857454663,1.0601909121735,0.0640198439784185,0.0922924570574336,0.693662797801329,0.0244880432952069,0.0381200478983978,0.0101144276912079,0.0704574620601673,0.242803835443848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14,5.02496274751837
13082915100500003175,9.71469605856015,5.51,2.163105,2.20210839402688,0.584287464143585,0.898852824764237,1.02168317128803,0.0594858098677094,0.0741034988173288,0.802739557741354,0.019661950122704,0.0462804056612376,0.0122796229907159,0.0663080234459239,0.228504432924684,0.557231951836085,0.0548812076460744,0.0701470815620062,0.00537380446021434,0.0246159021465437,0.0472929748727264,0.204356017548607,10.6908627850953,0.831689480352366,0.170110873835345,0.18,4.84587514044775
13082915100500005175,9.71469605856015,5.51,2.163105,2.38014528666559,0.631526158117979,1.55227301457739,1.11038632379409,0.0694932990283174,0.0874258243642559,0.794882971177676,0.0231967751256072,0.0668397251316915,0.017734646308593,0.168141894495371,0.579434678578231,0.564188897384395,0.0565259921621446,0.094343568430601,0.00703128414976425,0.0412822377413303,0.0421706488588474,0.187915117893507,11.4342936035093,0.842072981170739,0.125862917903209,0.19,7.71416417223607
13082915100500005450,9.71469605856015,5.51,2.163105,2.51437185647803,0.667140618472942,1.47029373515438,1.17093196452662,0.0775523581117203,0.0988999076160508,0.784149955051465,0.0262412042848386,0.0568855179224906,0.015093487270464,0.149594904220413,0.515519796562557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14,6.92488042997842
13082916210400003275,10.8159017022462,5.51,2.12877,2.1379626044675,0.457636813078767,1.06674569704195,1.00952798809245,0.0452344354872071,0.0707696354404414,0.6391785856418,0.0151484363468445,0.0846933375382993,0.0181288433198229,0.0625834631667571,0.173988727143861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18,5.82334455346735
13082916210400003175,10.8159017022462,5.51,2.12877,2.1147558344906,0.452669339731999,0.954357995683343,0.997634315288815,0.0442577599875308,0.0711629507456241,0.621921372340681,0.0152326265765627,0.0538914629541887,0.0115356168096542,0.0700195953566585,0.194661970667426,0.487676730030446,0.0467591367320153,0.046160280858148,0.00333632643182361,0.0334709361966424,0.0573307519387495,0.159224842673415,12.0766136471662,0.727875716463352,0.204751541659964,0.21,5.27029014415331
13082916210400003325,10.8159017022462,5.51,2.12877,2.24753265294106,0.481090585229669,1.25893994924395,1.06268704324696,0.0499897523973601,0.0869207289911351,0.575118881049174,0.0186056226254219,0.0791754146914709,0.0169477166615921,0.0912354490437922,0.253644315068199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18,6.53164665618695
13082916210400003375,10.8159017022462,5.51,2.12877,2.43968387553073,0.522221086273689,1.41141760758088,1.15403847428278,0.0589028186373901,0.09308415640005,0.632791023901448,0.0199249213218369,0.0788255404237259,0.0168728251061764,0.116588846080505,0.324129472903532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19,6.74404600751947
13082916210400003425,10.8159017022462,5.51,2.12877,2.39392774984626,0.512426860924135,1.43482646664353,1.13296697966688,0.0567140998675712,0.0857861991587593,0.66110983379289,0.0183627733745761,0.0856116418990838,0.0183254089099916,0.121885551981759,0.338854882319737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19,6.98457986389182
13082916210400004300,10.8159017022462,5.51,2.12877,2.27003809215872,0.485907936786232,1.08368060537377,1.0714261049034,0.0509958993612217,0.0741791519776694,0.687469430448238,0.0158782527987207,0.0511475537987768,0.0109482754601674,0.096181283031924,0.267394263005196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19,5.5732193319836
